Number,Arabic,English
1685,مفتاح مرشح,candidate key
1686,برنامج معلبة,canned program
1687,برمجية معلبة,canned software
1688,صف قانوين,canonical class
1689,نموذج قانوين,canonical model
1690,كنفا,canvas
1691,[نظام] CA-OpenIngres,CA-OpenIngres
1692,[نظام] CA-OpenROAD,CA-OpenROAD
1693,نموذج نضج المقدرة (CMM),Capability Maturity Model (CMM)
1694,سعة,capacitance
1695,كاشف تدخل سعوي التشغيل,capacitance operated intrusion detector
1696,لغط (اختلاط) سعوي,capacitive crosstalk
1697,حظار سعوي,capacitive diaphragm
1698,ردية سعوية,capacitive reactance
1699,مكثفة,capacitor
1700,مجهار ذو مكثفة,capacitor loudspeaker
1701,مكروفون ذو مكثفة,capacitor microphone
1702,سعة,capacity
1703,سعة عند الطلب,capacity on demand
1704,[نظام] CA-Panvalet,CA-Panvalet
1705,نفقات رأسمالية,CAPEX
1706,معاملات رأسمالية,capital transactions
1707,قلنسة,capping
1708,حروف كبيرة,caps
1709,"مفتاح ""قفل الحروف الكبية """,caps lock key
1710,[اختبار] CAPTCHA,CAPTCHA
1711,خدمة هاتفية معنونة,captioned telephone service
1712,بوابة جذابة,captive portal
1713,يلتقط,capture (v)
1714,أثر التقاط,capture effect
1715,[برمجيات] محرك استجابة سريع من CA,CA-Quick Response Engine
1716,[نظام] ملاحة العربة,car navigation
1717,[لغة] CA-RAMIS,CA-RAMIS
1718,مكروفون كربوين,carbon microphone
1719,شريط كربوين,carbon ribbon
1720,بطاقة (كرت),card
1721,ثقابة بطاقات,card punch
1722,ذاكرة نفاذ عشوائي لبطاقة (CRAM),Card Random Access Memory (CRAM)
1723,قارئة بطاقات,card reader
1724,رمز أمني للبطاقة,card security code
1725,عدد أصلي,cardinal number
1726,اتجاهات أساسية,cardinal radial
1727,مكروفون قلبي الشكل,cardioid microphone
1728,وحدة ثقابة بطاقات,card-punch unit
1729,علامة الإدراج,caret
1730,برمجيات ريعية خيرية,careware
1731,حاسوب عربة,carputer
1732,حامل,carriage
1733,محرف تحكم للعودة [إلى بداية السطر],carriage control character
1734,[محرف] إرجاع (CR),Carriage Return (CR)
1735,حامل، انقل,carrier
1736,رماز النفاذ إلى الحامل (CAC),Carrier Access Code
1737,استعادة الحامل والميقاتية,carrier and clock recovery
1738,كشف الحامل,carrier detect
1739,إثرنت حامل,carrier Ethernet
1740,تردد حامل,carrier frequency
1741,[توصيف] لينكس لحامل (CGL),Carrier Grade Linux (CGL)
1742,رماز معرف الحامل (CIC),Carrier Identification Code
1743,وصلة الحامل,carrier link
1744,تعديل الحامل,carrier modulation
1745,مستوى ضجيج الحامل,carrier noise level
1746,قدرة الحامل (لمرسل راديوي),carrier power (of a radio
1747,مكرر الحامل,carrier repeater
1748,نظام توجيه إلى حامل,carrier routing system
1749,تحسس الحامل,carrier sense
1750,نفاذ متعدد بتحسس الحامل (CSMA),Carrier Sense Multiple Access
1751,نفاذ متعدد بتحسس الحامل مع تحاشي التصادم,Carrier Sense Multiple Access with Collision Avoidance (CSMA/CA)
1752,نفاذ متعدد بتحسس الحامل مع تحاشي التصادم,Carrier Sense Multiple Access/Collision Avoidance (CSMA/CA)
1753,نفاذ متعدد بتحسس الحامل مع كشف التصادم,Carrier Sense Multiple Access/Collision Detection (CSMA/C])
1754,إشارة تحسس الحامل,carrier sense signal
1755,منظومة تحسس الحامل,carrier sense system
1756,نفاذ متعدد بتحسس الحامل (CSMA),Carrier Sense with Multiple Access
1757,إزالة الحامل,carrier suppression
1758,منظومة الحامل,carrier system
1759,هتف بالحامل,carrier telelphony
1760,إرسال بالحامل,carrier transmission
1761,مبدال للحامل,carrier-class switch
1762,تعديل طوري سعوي من دون حامل,carrierless amplitude phase modulation
1763,نسبة الحامل إلى الضجيج,carrier-to-noise ratio
1764,حمل,carry
1765,بت الحمل,carry bit
1766,راية الحمل,carry flag
1767,إحداثيات ديكارتية,Cartesian coordinates
1768,جداء ديكارتي,Cartesian product
1769,خرطوشة,cartouche
1770,خرطوشة,cartridge
1771,بنط خرطوشة,cartridge font
1772,تعاقب,cascade
1773,ربط تعاقب,cascade connection
1774,طبولوجيا نمية تعاقبية,cascade star topology
1775,أعطال متعاقبة,cascading failure
1776,مجمعات متعاقبة,cascading hub
1777,قوائم متعاقبة,cascading menu
1778,تراجعات متعاقبة,cascading rollback
1779,ورقات الطرز المتعاقبة (CSS),Cascading Style Sheet
1780,نوافذ متعاقبة,cascading windows
1781,حالة [الحرف],case
1782,(هندسة البرمجيات بمعونة الحاسوب) CAES,CASE (Computer-Assisted Software Engineering)
1783,ماكمة معتمدة على الحالة (CBR),Case Based Reasoning
1784,فتاحة صندوق [الحاسوب],case cracker
1785,حساس حالة [الحرف],case sensitive
1786,حساسية حالة [الحرف],case sensitivity
1787,تغيير حالة [الحرف],case shift
1788,عبارة case,case statement
1789,تقانة CASE,CASE technology
1790,لغة تأشيرية باعتماد الحالة (CBML),Case-Based Markup Language
1791,بحث حساس لحالة [الحرف],case-sensitive search
1792,ذاكرة خابية,cash memory
1793,هوائي كاسغران,Cassegrain antenna
1794,كاست,cassette
1795,شريط الكاست ، كاست,cassette tape
1796,[كبل] فئة 1,Cat 1
1797,[كبل] فئة 2,Cat 2
1798,[كبل] فئة 3,Cat 3
1799,[كبل] فئة 4,Cat 4
1800,[كبل] فئة 5,Cat 5
1801,[كبل] فئة 5e,Cat 5e
1802,[كبل] فئة 6,Cat 6
1803,[كبل] فئة 6a,CAT 6a
1804,[كبل] فئة 7,Cat 7
1805,تصوير طبقي محوري بمعونة الحاسوب,CAT scan
1806,إجراء مصنف,catalogued procedure
1807,عطل كارثي,catastrophic failure
1808,سلسلة مترابطة,catena
1809,[مجموعة شبكات] Catenet,Catenet
1810,مهبط,cathode
1811,حيز المهبط المظلم,cathode dark space
1812,شاشة الأشعة المهبطية,cathode ray screen
1813,صمام الأشعة المهبطية (CRT),Cathode Ray Tube
1814,راسم إشارة مهبطي,cathode-ray oscilloscope
1815,[تلفزة] CATV,CATV
1816,شبكة سببية,causal network
1817,رسم بياين سببي,cause-effect graphing
1818,[سرعة] CAV/CLV,CAV/CLV
1819,نطاق C,C-Band
1820,[رماز] CBC-MAC,CBC-MAC
1821,[رابطة] CBEMA,CBEMA
1822,(معدل [نقل] البتات الثابت)CBR,CBR (Constant Bit Rate)
1823,كمرة CCD,CCD camera
1824,محس CCD,CCD sensor
1825,[شهادة] CCIE,CCIE
1826,[شهادة] CCIP,CCIP
1827,[لجنة] CCIR,CCIR
1828,[هيئة] CCITT,CCITT
1829,(الهيئة الاستشارية الدولية للبرق والهاتف) CCITT,CCITT (Comité Consultatif Internationale de Télégraphie et Téléphonie)
1830,[شهادة] CCNA,CCNA
1831,[شهادة] CCNP,CCNP
1832,[النطاق] ccTLD,ccTLD
1833,[تلفزة] CCTV,CCTV
1834,[لغة] CCXML,CCXML
1835,[قرص] CD صوت,CD audio
1836,حارق CD,CD burner
1837,CD [على شكل] بطاقة أعمال,CD card
1838,مسوق CD,CD drives
1839,نسخ CD,CD duplication
1840,انسخة CD,CD duplicator
1841,معرف CD,CD identification
1842,صندوق إسماع CD,CD jukebox
1843,طابعة لصاقات CD,CD label printer
1844,مشغل CD,CD player
1845,[نسق] CD Plus,CD Plus
1846,مسجلة CD,CD recorder
1847,[إعادة] نسخ CD,CD replication
1848,[قرص] CD ROM,CD ROM
1849,صينية CD,CD tray
1850,فيديو CD,CD Video
1851,كاتبة CD (كاتبة قرص متراص),CD writer (compact disk writer)
1852,طابعة لصاقات CD/DVD,CD/DVD label printer
1853,[نسق] CD+G,CD+G
1854,[نسق] CD+R,CD+R
1855,[أمارة] CDATA,CDATA
1856,[قاعدة معطيات] CDDB,CDDB
1857,[بيئة] CDE,CDE
1858,[قرص] CD-E,CD-E
1859,[نظام ملفات] CDFS,CDFS
1860,[نظام] CDGPS,CDGPS
1861,[تضميم] CDMA,CDMA
1862,[نظام] الخلوي الرقمي CDMA,CDMA Digital Cellular
1863,[نظام] CDMA2000,CDMA2000
1864,[قرص] CD-MRW,CD-MRW
1865,(معطيات رزمية رقمية خلوية) CDPD,CDPD (Cellular Digital Packet Data)
1866,[قرص] CD-R,CD-R
1867,حارقة CD-R,CD-R burner
1868,[ذاكرة] CDRAM,CDRAM
1869,[ذاكرة] CDROM,CDROM
1870,[ذاكرة] CD-ROM,CD-ROM
1871,(ذاكرة قرص متراص للقراءة فقط) CD-ROM,CD-ROM (compact disk read-only memory)
1872,حارقة CD-ROM,CD-ROM burner
1873,مبدل [أقراص] CD-ROM,CD-ROM changer
1874,مسوق CD-ROM,CD-ROM drive
1875,توسعات CD-ROM,CD-ROM extensions
1876,نظام ملفات CD-ROM,CD-ROM File System
1877,صندوق إسماع CD-ROM,CD-ROM jukebox
1878,[قرص] CD-RW,CD-RW
1879,[وحدة خدمة] CDSU,CDSU
1880,[نسق] CD-UDF,CD-UDF
1881,تجهيزة CE,CE device
1882,[مسرى] CEBus,CEBus
1883,دالة سقفية,ceiling function
1884,[معالج] سيليون,celeron
1885,خلية,cell
1886,إحياء الخلية,cell animation
1887,بث خلوي,cell broadcast
1888,تغير تأخير الخلية (CDV),Cell Delay Variation
1889,سماحية تغير تأخير الخلية (CDVT),Cell Delay Variation Tolerance
1890,معدل أخطاء الخلية,cell error ratio
1891,ترويسة خلية,cell header
1892,هاتف خلوي,cell phone
1893,أجيال الهاتف الخلوي,cell phone generations
1894,بريد واغل على الهاتف الخلوي,cell phone spam
1895,[مشاهدة] التلفزة بالهاتف الخلوي,cell phone TV
1896,المعالج Cell,Cell proces sor
1897,ترحيل خلايا,cell relay
1898,مبدال خلايا,cell switch
1899,تأخر النقل بين الخلايا,cell transfer delay
1900,هاتف خلوي,cellphone
1901,[مشاهدة] التلفزة بالهاتف الخلوي,cellphone TV
1902,فيروس الهاتف الخلوي,cellphone virus
1903,خلوي,cellular
1904,مؤتمتات خلوية,cellular automata
1905,معطيات رزمية رقمية خلوية (CDPD),Cellular Digital Packet Data
1906,أجيال الهاتف الخلوي,cellular generations
1907,[بروتوكول] IP للخلوي,cellular IP
1908,جوال خلوي,cellular mobile
1909,مودم للخلوي,cellular modem
1910,معالجة متعددة للخلوي (CMP),Cellular MultiProcessing
1911,شبكات خلوية,cellular networks
1912,هاتف خلوي,cellular phone
1913,برمجة خلوية,cellular programming
1914,[منظومة] راديوية خلوية,cellular radio
1915,منظومة خلوية,cellular system
1916,هاتف خلوي,cellular telephone
1917,الخلوي مقابل,Wi-Fi cellular vs. Wi-Fi
1918,رقابة,censorship
1919,برمجيات رقابة,censorware
1920,يركز,center (v)
1921,تردد مركزي,center frequency
1922,أمواج سنتمترية,centimeter waves
1923,[نظام التشغيل] CentOS,CentOS
1924,محطة تحكم شبكية مركزية,central network control station
1925,مبدال مكتب مركزي,central office switch
1926,[دارة] جذع مكتب مركزي,central office trunk
1927,معالجة مركزية,central processing
1928,وحدة معالجة مركزية (CPU),Central Processing Unit
1929,معالج مركزي,central processor
1930,تنظيم معالج مركزي,central processor organization
1931,وحدة [معالجة] مركزية,central unit
1932,بنيان مركزي,centralized architecture
1933,شبكة حاسوبية مركزية,centralized computer network
1934,DBMS مركزية,centralized DBMS
1935,شبكة مركزية,centralized network
1936,استقصاء مركزي,centralized polling
1937,معالجة مركزية,centralized processing
1938,مركز تميز,centre of excellence
1939,كبل Centronics,Centronics cable
1940,واجهة Centronics,Centronics interface
1941,واجهة Centronics المتوازية,Centronics parallel interface
1942,[طيفة] cepstrum,cepstrum
1943,سيراميك (خزف),ceramic
1944,مكروفون خزيف,ceramic microphone
1945,شراحة خزفية,ceramic wafer
1946,[فريق] CERT,CERT
1947,(فريق الاستجابة لطوارئ الحاسوب) CERT,CERT (Computer Emergency Response Team)
1948,[مركز] CERT/CC,CERT/CC
1949,شهادة,certificate
1950,سلطة منح شهادات (CA),Certificate Authority
1951,برمجيات سلطة منح شهادات,Certificate Authority software
1952,تجميد(وقف) منح شهادة,certificate hold
